"Nest ID_marking","Adult1","Adult2","Adult3","Chick1","Chick2","Chick3","Status","Est_LayDate","Est_HatchDate","HatchDate","Est_TranspondDate5","Est_TranspondDate6","Est_FledgeDate","Eggs","Chicks","diffchicks","Notes","__id"
"F15",NA,NA,NA,NA,NA,NA,"Fledged","2022-10-11","2022-11-15","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","2",NA,NA,NA
"G46",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-15","2022-12-20","2022-12-27","2023-01-10","1","1",NA,NA,NA
"G52",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","2",NA,NA,NA
"G9",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-15","2022-12-20","2022-12-27","2023-01-10","0","1",NA,NA,NA
"B47","956000015724494","956000015720452",NA,NA,NA,NA,"Chicks","2022-10-17","2022-11-21","2022-11-21","2022-12-26","2023-01-02","2023-01-16","0","2",NA,"Mark chicks",NA
"A21",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-17","2022-11-21","2022-11-21","2022-12-26","2023-01-02","2023-01-16","0","2",NA,"Mark chicks",NA
"A34",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-21","2022-12-26","2023-01-02","2023-01-16","0","2",NA,"Mark chicks",NA
"F33",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-03","2022-11-07","2022-11-21","2022-12-26","2023-01-02","2023-01-16","0","2",NA,"Mark chicks",NA
"G53",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-17","2022-11-21","2022-11-21","2022-12-26","2023-01-02","2023-01-16","1","1",NA,"Mark chicks",NA
"A11",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-18","2022-11-22","2022-11-22","2022-12-27","2023-01-03","2023-01-17","0","2",NA,"Mark chicks",NA
"B40",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-04","2022-11-08","2022-11-22","2022-12-27","2023-01-03","2023-01-17","0","2",NA,"Mark chicks",NA
"D10",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-10","2022-11-14","2022-11-22","2022-12-27","2023-01-03","2023-01-17","0","1",NA,"Mark chicks",NA
"D25",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-18","2022-11-22","2022-11-22","2022-12-27","2023-01-03","2023-01-17",NA,"1",NA,"Mark chicks",NA
"G20",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-11","2022-11-15","2022-11-22","2022-12-27","2023-01-03","2023-01-17","1","1",NA,"Mark chicks",NA
"G21",NA,NA,NA,NA,NA,NA,"Chicks","2022-09-27","2022-11-01","2022-11-22","2022-12-27","2023-01-03","2023-01-17","0","1",NA,"Mark chicks",NA
"D13",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-18","2022-11-22","2022-11-29","2023-01-03","2023-01-10","2023-01-24","0","2",NA,"Mark chicks",NA
"D23",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-10","2022-11-14","2022-11-29","2023-01-03","2023-01-10","2023-01-24","1","1",NA,"Mark chicks",NA
"D28",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-25","2022-11-29","2022-11-29","2023-01-03","2023-01-10","2023-01-24","0","1",NA,"Mark chicks",NA
"A31",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-01","2022-12-06","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"A47",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-26","2022-11-30","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"B19",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-17","2022-11-21","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"B21",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-01","2022-12-06","2022-12-05","2023-01-09","2023-01-16","2023-01-30",NA,"1",NA,NA,NA
"B36",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-17","2022-11-21","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"B38",NA,NA,NA,NA,NA,NA,"Chicks","2022-10-18","2022-11-22","2022-12-05","2023-01-09","2023-01-16","2023-01-30","0","2",NA,NA,NA
"B49",NA,NA,NA,NA,NA,NA,"Chicks","2022-11-01","2022-12-06","2022-12-05","2023-01-09","2023-01-16","2023-01-30",NA,"1",NA,NA,NA
